,기간,손석구
905,2021-12-04,0.68907
906,2021-12-05,0.62074
907,2021-12-06,0.46024
908,2021-12-07,0.38921
909,2021-12-08,0.39008
910,2021-12-09,0.37208
911,2021-12-10,1.23374
912,2021-12-11,0.64721
913,2021-12-12,0.54125
914,2021-12-13,0.40759
915,2021-12-14,0.37934
916,2021-12-15,0.32051
917,2021-12-16,0.30484
918,2021-12-17,0.34036
919,2021-12-18,0.51989
920,2021-12-19,0.50503
921,2021-12-20,0.39322
922,2021-12-21,0.33575
923,2021-12-22,0.28901
924,2021-12-23,0.28125
925,2021-12-24,0.27865
926,2021-12-25,0.36416
927,2021-12-26,0.47602
928,2021-12-27,0.25712
929,2021-12-28,0.23272
930,2021-12-29,0.21689
931,2021-12-30,0.20935
932,2021-12-31,0.29302
933,2022-01-01,0.39485
934,2022-01-02,0.29166
935,2022-01-03,0.30408
936,2022-01-04,0.20501
937,2022-01-05,0.20203
938,2022-01-06,0.20539
939,2022-01-07,0.19113
940,2022-01-08,0.20892
941,2022-01-09,0.21277
942,2022-01-10,0.15513
943,2022-01-11,0.13864
944,2022-01-12,0.13615
945,2022-01-13,0.17286
946,2022-01-14,0.36709
947,2022-01-15,0.42505
948,2022-01-16,0.20995
949,2022-01-17,0.14385
950,2022-01-18,0.16353
951,2022-01-19,0.13024
952,2022-01-20,0.12292
953,2022-01-21,0.12981
954,2022-01-22,0.18441
955,2022-01-23,0.19731
956,2022-01-24,0.17291
957,2022-01-25,0.13528
958,2022-01-26,0.17606
959,2022-01-27,0.13658
960,2022-01-28,0.13094
961,2022-01-29,0.16868
962,2022-01-30,0.1971
963,2022-01-31,0.20339
964,2022-02-01,0.18625
965,2022-02-02,0.16429
966,2022-02-03,0.12026
967,2022-02-04,0.1368
968,2022-02-05,0.17373
969,2022-02-06,0.18387
970,2022-02-07,0.12628
971,2022-02-08,0.1008
972,2022-02-09,0.10351
973,2022-02-10,0.11392
974,2022-02-11,0.11967
975,2022-02-12,0.16803
976,2022-02-13,0.18777
977,2022-02-14,0.15947
978,2022-02-15,0.25777
979,2022-02-16,0.16277
980,2022-02-17,0.22242
981,2022-02-18,1.12714
982,2022-02-19,0.4321
983,2022-02-20,1.19307
984,2022-02-21,0.2421
985,2022-02-22,0.27827
986,2022-02-23,0.16673
987,2022-02-24,0.15692
988,2022-02-25,0.22562
989,2022-02-26,0.23012
990,2022-02-27,0.21884
991,2022-02-28,0.17123
992,2022-03-01,0.1907
993,2022-03-02,0.16321
994,2022-03-03,0.18831
995,2022-03-04,0.1445
996,2022-03-05,0.14743
997,2022-03-06,0.14873
