,기간,우크라이나
819,2021-09-09,0.11411
820,2021-09-10,0.1321
821,2021-09-11,0.08892
822,2021-09-12,0.08504
823,2021-09-13,0.08939
824,2021-09-14,0.11009
825,2021-09-15,0.08787
826,2021-09-16,0.08068
827,2021-09-17,0.07844
828,2021-09-18,0.06486
829,2021-09-19,0.05788
830,2021-09-20,0.07745
831,2021-09-21,0.09453
832,2021-09-22,0.1002
833,2021-09-23,0.10831
834,2021-09-24,0.1294
835,2021-09-25,0.12294
836,2021-09-26,0.13388
837,2021-09-27,0.10897
838,2021-09-28,0.09262
839,2021-09-29,0.09367
840,2021-09-30,0.10923
841,2021-10-01,0.10059
842,2021-10-02,0.0795
843,2021-10-03,0.09743
844,2021-10-04,0.10514
845,2021-10-05,0.10283
846,2021-10-06,0.088
847,2021-10-07,0.07706
848,2021-10-08,0.0762
849,2021-10-09,0.08319
850,2021-10-10,0.10686
851,2021-10-11,0.09038
852,2021-10-12,0.08042
853,2021-10-13,0.08418
854,2021-10-14,0.07818
855,2021-10-15,0.07818
856,2021-10-16,0.06776
857,2021-10-17,0.06651
858,2021-10-18,0.06677
859,2021-10-19,0.08068
860,2021-10-20,0.08279
861,2021-10-21,0.08128
862,2021-10-22,0.08187
863,2021-10-23,0.08161
864,2021-10-24,0.07759
865,2021-10-25,0.08174
866,2021-10-26,0.08563
867,2021-10-27,0.07759
868,2021-10-28,0.08068
869,2021-10-29,0.06869
870,2021-10-30,0.07066
871,2021-10-31,0.07521
872,2021-11-01,0.07732
873,2021-11-02,0.08438
874,2021-11-03,0.08352
875,2021-11-04,0.09637
876,2021-11-05,0.08451
877,2021-11-06,0.0826
878,2021-11-07,0.0791
879,2021-11-08,0.08662
880,2021-11-09,0.07502
881,2021-11-10,0.08042
882,2021-11-11,0.09189
883,2021-11-12,0.17904
884,2021-11-13,0.13184
885,2021-11-14,0.13751
886,2021-11-15,0.13969
887,2021-11-16,0.15992
888,2021-11-17,0.1298
889,2021-11-18,0.10738
890,2021-11-19,0.12485
891,2021-11-20,0.10382
892,2021-11-21,0.11206
893,2021-11-22,0.48413
894,2021-11-23,0.51558
895,2021-11-24,0.21352
896,2021-11-25,0.20488
897,2021-11-26,0.27193
898,2021-11-27,0.5196
899,2021-11-28,0.43713
900,2021-11-29,0.40713
901,2021-11-30,0.32526
902,2021-12-01,0.25215
903,2021-12-02,0.26052
904,2021-12-03,0.1946
905,2021-12-04,1.38576
906,2021-12-05,1.38351
907,2021-12-06,0.5759
908,2021-12-07,0.48842
909,2021-12-08,0.57003
910,2021-12-09,0.44207
911,2021-12-10,0.40773
912,2021-12-11,0.84967
913,2021-12-12,0.76272
914,2021-12-13,0.66931
915,2021-12-14,0.36659
916,2021-12-15,0.29388
917,2021-12-16,0.26421
918,2021-12-17,0.25584
919,2021-12-18,0.67847
920,2021-12-19,0.54531
921,2021-12-20,0.50536
922,2021-12-21,0.40588
923,2021-12-22,0.46778
924,2021-12-23,0.54669
