,기간,범죄도시2
885,2021-11-14,1.84655
886,2021-11-15,1.36695
887,2021-11-16,1.30546
888,2021-11-17,1.31288
889,2021-11-18,1.22114
890,2021-11-19,1.20383
891,2021-11-20,1.03148
892,2021-11-21,1.68444
893,2021-11-22,0.98696
894,2021-11-23,0.8199
895,2021-11-24,1.0344
896,2021-11-25,0.91029
897,2021-11-26,0.74244
898,2021-11-27,0.79247
899,2021-11-28,0.74345
900,2021-11-29,0.59427
901,2021-11-30,0.55852
902,2021-12-01,0.44924
903,2021-12-02,0.39134
904,2021-12-03,0.37987
905,2021-12-04,0.43159
906,2021-12-05,0.44294
907,2021-12-06,0.34952
908,2021-12-07,0.33839
909,2021-12-08,0.39663
910,2021-12-09,0.362
911,2021-12-10,0.38179
912,2021-12-11,0.39977
913,2021-12-12,0.35908
914,2021-12-13,0.32467
915,2021-12-14,0.34862
916,2021-12-15,0.32996
917,2021-12-16,0.31613
918,2021-12-17,0.29859
919,2021-12-18,0.32636
920,2021-12-19,0.35042
921,2021-12-20,0.30792
922,2021-12-21,0.30736
923,2021-12-22,0.29915
924,2021-12-23,0.28533
925,2021-12-24,0.2833
926,2021-12-25,0.35447
927,2021-12-26,0.72951
928,2021-12-27,0.49994
929,2021-12-28,0.33828
930,2021-12-29,0.33378
931,2021-12-30,0.29601
932,2021-12-31,0.41045
933,2022-01-01,0.66622
934,2022-01-02,0.71445
935,2022-01-03,0.64587
936,2022-01-04,0.5484
937,2022-01-05,0.52771
938,2022-01-06,0.52355
939,2022-01-07,0.53243
940,2022-01-08,0.58291
941,2022-01-09,0.58359
942,2022-01-10,0.50174
943,2022-01-11,0.42439
944,2022-01-12,0.50264
945,2022-01-13,0.51422
946,2022-01-14,0.65801
947,2022-01-15,0.90242
948,2022-01-16,0.61293
949,2022-01-17,0.49072
950,2022-01-18,0.42934
951,2022-01-19,0.45722
952,2022-01-20,0.46678
953,2022-01-21,0.4543
954,2022-01-22,0.55694
955,2022-01-23,0.53502
956,2022-01-24,0.46801
957,2022-01-25,0.4326
958,2022-01-26,0.51208
959,2022-01-27,0.43811
960,2022-01-28,0.49837
961,2022-01-29,0.51636
962,2022-01-30,0.59112
963,2022-01-31,1.0561
964,2022-02-01,0.93525
965,2022-02-02,0.61844
966,2022-02-03,0.48465
967,2022-02-04,0.47004
968,2022-02-05,0.49556
969,2022-02-06,0.49466
970,2022-02-07,0.36998
