,기간,세븐틴
585,2021-01-18,5.35029
586,2021-01-19,5.33092
587,2021-01-20,7.54158
588,2021-01-21,5.54305
589,2021-01-22,5.31023
590,2021-01-23,9.78047
591,2021-01-24,8.17863
592,2021-01-25,5.83203
593,2021-01-26,5.33092
594,2021-01-27,5.12962
595,2021-01-28,5.0518
596,2021-01-29,5.18775
597,2021-01-30,5.09153
598,2021-01-31,9.32698
599,2021-02-01,8.43149
600,2021-02-02,6.42541
601,2021-02-03,5.4429
602,2021-02-04,5.19169
603,2021-02-05,4.93424
604,2021-02-06,4.49848
605,2021-02-07,4.50077
606,2021-02-08,4.85937
607,2021-02-09,4.71061
608,2021-02-10,4.81668
609,2021-02-11,5.32501
610,2021-02-12,4.93062
611,2021-02-13,4.64789
612,2021-02-14,6.88416
613,2021-02-15,5.92266
614,2021-02-16,4.93457
615,2021-02-17,4.54084
616,2021-02-18,6.3246
617,2021-02-19,4.62556
618,2021-02-20,4.34184
619,2021-02-21,4.15565
620,2021-02-22,15.31467
621,2021-02-23,6.31179
622,2021-02-24,5.6813
623,2021-02-25,5.32829
624,2021-02-26,10.03562
625,2021-02-27,9.54929
626,2021-02-28,7.85682
627,2021-03-01,5.46391
628,2021-03-02,4.5126
629,2021-03-03,4.65216
630,2021-03-04,3.89196
631,2021-03-05,3.60463
632,2021-03-06,3.83975
633,2021-03-07,3.85124
634,2021-03-08,3.65815
635,2021-03-09,3.47459
636,2021-03-10,3.55537
637,2021-03-11,3.46112
638,2021-03-12,4.53985
639,2021-03-13,3.95665
640,2021-03-14,3.94483
641,2021-03-15,4.30276
642,2021-03-16,3.72481
643,2021-03-17,3.7212
644,2021-03-18,3.81413
645,2021-03-19,3.65257
646,2021-03-20,3.72153
647,2021-03-21,4.21147
648,2021-03-22,4.80683
649,2021-03-23,3.62203
650,2021-03-24,3.76882
651,2021-03-25,3.47524
652,2021-03-26,4.09391
653,2021-03-27,4.36154
654,2021-03-28,4.34906
655,2021-03-29,4.82095
656,2021-03-30,4.0706
657,2021-03-31,3.88703
658,2021-04-01,4.4571
659,2021-04-02,5.14407
660,2021-04-03,5.41072
661,2021-04-04,4.64461
662,2021-04-05,4.00262
663,2021-04-06,5.22387
664,2021-04-07,4.49716
665,2021-04-08,4.30473
666,2021-04-09,4.2696
667,2021-04-10,4.35629
668,2021-04-11,4.77826
669,2021-04-12,4.02889
