,기간,아우터
836,2021-09-26,3.45739
837,2021-09-27,3.58956
838,2021-09-28,3.48521
839,2021-09-29,3.38782
840,2021-09-30,3.43652
841,2021-10-01,2.97043
842,2021-10-02,2.90086
843,2021-10-03,2.84521
844,2021-10-04,3.18608
845,2021-10-05,2.94956
846,2021-10-06,3.05391
847,2021-10-07,2.92869
848,2021-10-08,3.1513
849,2021-10-09,3.23478
850,2021-10-10,3.37391
851,2021-10-11,5.60695
852,2021-10-12,6.5113
853,2021-10-13,5.57913
854,2021-10-14,4.98782
855,2021-10-15,5.30782
856,2021-10-16,10.24
857,2021-10-17,13.86434
858,2021-10-18,14.14956
859,2021-10-19,11.40173
860,2021-10-20,10.44173
861,2021-10-21,9.62782
862,2021-10-22,8.88347
863,2021-10-23,7.81217
864,2021-10-24,8.24347
865,2021-10-25,7.77043
866,2021-10-26,7.16521
867,2021-10-27,6.60173
868,2021-10-28,6.41391
869,2021-10-29,5.3426
870,2021-10-30,5.70434
871,2021-10-31,6.53913
872,2021-11-01,5.80173
873,2021-11-02,6.7826
874,2021-11-03,6.15652
875,2021-11-04,6.01043
876,2021-11-05,5.41217
877,2021-11-06,5.56521
878,2021-11-07,6.30956
879,2021-11-08,8.29217
880,2021-11-09,8.7026
881,2021-11-10,9.11304
882,2021-11-11,7.81913
883,2021-11-12,6.84521
884,2021-11-13,6.63652
885,2021-11-14,6.5113
886,2021-11-15,6.44869
887,2021-11-16,6.90086
888,2021-11-17,6.33043
889,2021-11-18,5.34956
890,2021-11-19,5.26608
891,2021-11-20,4.84869
892,2021-11-21,5.28
893,2021-11-22,6.56695
894,2021-11-23,7.46434
895,2021-11-24,5.83652
896,2021-11-25,5.30086
897,2021-11-26,4.97391
898,2021-11-27,4.88347
899,2021-11-28,5.08521
900,2021-11-29,5.12695
901,2021-11-30,5.14782
902,2021-12-01,5.07826
903,2021-12-02,4.09043
904,2021-12-03,3.95826
905,2021-12-04,3.72173
906,2021-12-05,4.20173
907,2021-12-06,4.46608
908,2021-12-07,4.12521
909,2021-12-08,4.0626
910,2021-12-09,3.61739
911,2021-12-10,3.61043
912,2021-12-11,4.19478
913,2021-12-12,4.80695
914,2021-12-13,3.80521
915,2021-12-14,4.0626
916,2021-12-15,3.71478
917,2021-12-16,3.49217
918,2021-12-17,3.24173
919,2021-12-18,3.22782
920,2021-12-19,3.25565
921,2021-12-20,3.57565
922,2021-12-21,3.19304
923,2021-12-22,3.01217
924,2021-12-23,3.47826
925,2021-12-24,2.60173
926,2021-12-25,2.91478
927,2021-12-26,2.9426
928,2021-12-27,3.14434
929,2021-12-28,2.62956
930,2021-12-29,2.87304
931,2021-12-30,2.89391
932,2021-12-31,2.4
933,2022-01-01,2.35826
934,2022-01-02,2.87304
935,2022-01-03,2.92869
936,2022-01-04,2.72695
937,2022-01-05,3.08869
938,2022-01-06,3.07478
939,2022-01-07,2.86608
940,2022-01-08,3.24869
941,2022-01-09,3.09565
942,2022-01-10,3.1026
943,2022-01-11,2.97043
944,2022-01-12,3.06086
945,2022-01-13,3.03304
946,2022-01-14,2.74086
947,2022-01-15,3.03304
948,2022-01-16,3.00521
949,2022-01-17,2.7826
950,2022-01-18,2.99826
951,2022-01-19,3.06086
952,2022-01-20,2.95652
953,2022-01-21,2.40695
954,2022-01-22,3.14434
955,2022-01-23,3.47826
956,2022-01-24,3.17913
957,2022-01-25,3.4226
958,2022-01-26,2.91478
959,2022-01-27,3.11652
960,2022-01-28,2.69217
961,2022-01-29,2.65043
962,2022-01-30,2.74086
963,2022-01-31,2.52521
964,2022-02-01,2.74782
965,2022-02-02,3.01217
966,2022-02-03,3.10956
967,2022-02-04,3.36
968,2022-02-05,3.3113
969,2022-02-06,3.47826
970,2022-02-07,3.42956
971,2022-02-08,3.17913
972,2022-02-09,3.52695
973,2022-02-10,3.58956
974,2022-02-11,3.42956
975,2022-02-12,3.36695
