,기간,캠핑
799,2021-08-20,25.68347
800,2021-08-21,23.97217
801,2021-08-22,28.33391
802,2021-08-23,30.85913
803,2021-08-24,27.85391
804,2021-08-25,26.61565
805,2021-08-26,26.07304
806,2021-08-27,25.30782
807,2021-08-28,26.30956
808,2021-08-29,29.43304
809,2021-08-30,32.67478
810,2021-08-31,29.20347
811,2021-09-01,27.58956
812,2021-09-02,29.08521
813,2021-09-03,29.00173
814,2021-09-04,28.71652
815,2021-09-05,33.48173
816,2021-09-06,34.87304
817,2021-09-07,30.58086
818,2021-09-08,28.58434
819,2021-09-09,31.15826
820,2021-09-10,29.83652
821,2021-09-11,33.7113
822,2021-09-12,38.62956
823,2021-09-13,37.1826
824,2021-09-14,34.44869
825,2021-09-15,32.50782
826,2021-09-16,31.60347
827,2021-09-17,31.14434
828,2021-09-18,33.93391
829,2021-09-19,32.94608
830,2021-09-20,28.68173
831,2021-09-21,28.73739
832,2021-09-22,38.14956
833,2021-09-23,41.16173
834,2021-09-24,38.94956
835,2021-09-25,33.70434
836,2021-09-26,41.48869
837,2021-09-27,44.98782
838,2021-09-28,40.92521
839,2021-09-29,38.33043
840,2021-09-30,39.58956
841,2021-10-01,39.6313
842,2021-10-02,40.1113
843,2021-10-03,42.08
844,2021-10-04,45.64173
845,2021-10-05,43.36695
846,2021-10-06,41.15478
847,2021-10-07,42.19826
848,2021-10-08,39.56869
849,2021-10-09,39.3113
850,2021-10-10,35.9513
851,2021-10-11,39.45739
852,2021-10-12,36.50086
853,2021-10-13,33.12
854,2021-10-14,32.09739
855,2021-10-15,30.83826
856,2021-10-16,28.20869
857,2021-10-17,28.96
858,2021-10-18,30.35826
859,2021-10-19,27.67304
860,2021-10-20,24.4313
861,2021-10-21,24.06956
862,2021-10-22,24.08347
863,2021-10-23,22.78956
864,2021-10-24,26.49739
865,2021-10-25,28.50782
866,2021-10-26,26.02434
867,2021-10-27,26.05913
868,2021-10-28,27.26956
869,2021-10-29,25.48869
870,2021-10-30,23.17217
871,2021-10-31,25.96173
872,2021-11-01,28.43826
873,2021-11-02,24.96
874,2021-11-03,22.7826
875,2021-11-04,21.89913
876,2021-11-05,21.63478
877,2021-11-06,19.50608
878,2021-11-07,23.68
879,2021-11-08,24.40347
880,2021-11-09,21.08521
881,2021-11-10,18.65739
882,2021-11-11,18.88695
883,2021-11-12,17.84347
884,2021-11-13,17.33565
885,2021-11-14,21.05043
886,2021-11-15,22.43478
