,기간,스트레이키즈
545,2020-12-09,3.36197
546,2020-12-10,3.34554
547,2020-12-11,2.87846
548,2020-12-12,3.87679
549,2020-12-13,3.17257
550,2020-12-14,3.37634
551,2020-12-15,2.78196
552,2020-12-16,3.23416
553,2020-12-17,3.01961
554,2020-12-18,23.24176
555,2020-12-19,5.47822
556,2020-12-20,3.66275
557,2020-12-21,3.46001
558,2020-12-22,3.10687
559,2020-12-23,5.15074
560,2020-12-24,3.769
561,2020-12-25,20.99719
562,2020-12-26,11.42044
563,2020-12-27,4.21606
564,2020-12-28,3.95994
565,2020-12-29,3.23981
566,2020-12-30,3.00421
567,2020-12-31,8.62615
568,2021-01-01,4.6852
569,2021-01-02,3.93684
570,2021-01-03,4.33925
571,2021-01-04,3.96969
572,2021-01-05,3.28241
573,2021-01-06,3.71049
574,2021-01-07,3.34092
575,2021-01-08,17.11167
576,2021-01-09,4.14883
577,2021-01-10,27.88744
578,2021-01-11,4.11649
579,2021-01-12,3.58679
580,2021-01-13,3.59294
581,2021-01-14,3.19669
582,2021-01-15,3.07043
583,2021-01-16,3.50312
584,2021-01-17,3.1505
585,2021-01-18,3.12432
586,2021-01-19,3.00113
587,2021-01-20,2.77375
588,2021-01-21,2.66494
589,2021-01-22,5.44742
590,2021-01-23,3.29935
591,2021-01-24,3.09609
592,2021-01-25,3.36864
593,2021-01-26,2.9262
594,2021-01-27,2.74655
595,2021-01-28,2.99651
596,2021-01-29,4.52814
597,2021-01-30,4.43113
598,2021-01-31,8.75242
599,2021-02-01,6.99187
600,2021-02-02,12.10362
601,2021-02-03,5.68661
602,2021-02-04,3.21466
603,2021-02-05,3.40662
604,2021-02-06,3.3476
605,2021-02-07,3.32707
606,2021-02-08,3.48054
607,2021-02-09,3.15922
608,2021-02-10,2.86717
609,2021-02-11,6.21682
610,2021-02-12,6.11622
611,2021-02-13,3.36351
612,2021-02-14,3.21774
613,2021-02-15,3.42151
614,2021-02-16,2.96161
615,2021-02-17,3.4097
616,2021-02-18,3.86652
617,2021-02-19,3.62425
618,2021-02-20,3.77926
619,2021-02-21,3.34811
620,2021-02-22,6.43548
621,2021-02-23,13.06447
622,2021-02-24,13.30828
623,2021-02-25,6.54173
624,2021-02-26,11.86083
625,2021-02-27,7.30549
626,2021-02-28,6.47449
627,2021-03-01,4.6734
628,2021-03-02,3.74128
629,2021-03-03,2.98625
630,2021-03-04,2.68649
631,2021-03-05,2.31745
632,2021-03-06,2.41035
633,2021-03-07,2.40214
634,2021-03-08,2.81173
635,2021-03-09,2.37442
636,2021-03-10,2.25329
637,2021-03-11,2.24764
638,2021-03-12,2.09674
639,2021-03-13,1.92684
640,2021-03-14,2.12189
641,2021-03-15,2.10495
642,2021-03-16,2.40932
643,2021-03-17,2.36724
644,2021-03-18,2.54842
645,2021-03-19,2.62182
646,2021-03-20,2.97136
647,2021-03-21,2.58179
648,2021-03-22,2.44012
649,2021-03-23,2.32412
650,2021-03-24,2.53251
651,2021-03-25,3.01653
652,2021-03-26,2.50685
653,2021-03-27,2.40984
654,2021-03-28,2.2538
655,2021-03-29,2.65159
656,2021-03-30,2.30359
657,2021-03-31,2.94673
658,2021-04-01,8.95824
659,2021-04-02,8.40955
660,2021-04-03,7.90808
661,2021-04-04,6.00689
662,2021-04-05,4.91926
663,2021-04-06,5.00651
664,2021-04-07,3.7536
665,2021-04-08,6.09004
666,2021-04-09,5.07786
667,2021-04-10,5.13483
668,2021-04-11,4.09339
669,2021-04-12,3.6027
670,2021-04-13,3.53905
671,2021-04-14,3.06529
672,2021-04-15,6.38877
673,2021-04-16,5.06143
674,2021-04-17,4.19707
675,2021-04-18,4.33463
676,2021-04-19,3.85472
677,2021-04-20,2.84766
678,2021-04-21,2.95237
679,2021-04-22,4.00357
680,2021-04-23,3.70227
681,2021-04-24,3.305
682,2021-04-25,2.99138
683,2021-04-26,2.50941
684,2021-04-27,2.64646
685,2021-04-28,2.43755
686,2021-04-29,6.08696
687,2021-04-30,5.58857
688,2021-05-01,5.46487
689,2021-05-02,4.29922
690,2021-05-03,3.71972
691,2021-05-04,3.97328
692,2021-05-05,3.63503
693,2021-05-06,3.96199
694,2021-05-07,4.21914
695,2021-05-08,3.6607
696,2021-05-09,3.55855
697,2021-05-10,3.12535
698,2021-05-11,2.93287
699,2021-05-12,2.77786
700,2021-05-13,3.81417
701,2021-05-14,4.20991
702,2021-05-15,4.16371
703,2021-05-16,4.06721
704,2021-05-17,3.4985
705,2021-05-18,3.78286
706,2021-05-19,3.9584
707,2021-05-20,5.29292
708,2021-05-21,6.08902
709,2021-05-22,5.47103
710,2021-05-23,4.69957
711,2021-05-24,5.38069
712,2021-05-25,4.58409
713,2021-05-26,3.63093
714,2021-05-27,3.85934
715,2021-05-28,4.79453
716,2021-05-29,3.71818
717,2021-05-30,3.57601
718,2021-05-31,4.03488
719,2021-06-01,3.56933
720,2021-06-02,3.14742
721,2021-06-03,10.61254
722,2021-06-04,9.94733
723,2021-06-05,5.11738
724,2021-06-06,4.53532
725,2021-06-07,4.28998
726,2021-06-08,3.78542
727,2021-06-09,3.60783
728,2021-06-10,3.77516
729,2021-06-11,3.08839
730,2021-06-12,4.23814
731,2021-06-13,4.2289
732,2021-06-14,3.9199
733,2021-06-15,4.96596
734,2021-06-16,4.01897
735,2021-06-17,3.16949
736,2021-06-18,2.90412
737,2021-06-19,2.79839
738,2021-06-20,2.78864
739,2021-06-21,2.79018
740,2021-06-22,2.83689
741,2021-06-23,3.7844
742,2021-06-24,2.91593
743,2021-06-25,2.40881
744,2021-06-26,7.63809
745,2021-06-27,4.67442
746,2021-06-28,3.89783
747,2021-06-29,3.84548
748,2021-06-30,2.87589
749,2021-07-01,3.29884
750,2021-07-02,2.59
751,2021-07-03,2.79839
752,2021-07-04,2.70395
753,2021-07-05,2.64235
754,2021-07-06,2.51455
755,2021-07-07,2.69779
756,2021-07-08,2.77427
757,2021-07-09,2.55458
758,2021-07-10,2.89797
759,2021-07-11,2.57255
760,2021-07-12,2.76246
761,2021-07-13,2.64595
762,2021-07-14,2.87949
763,2021-07-15,2.58897
764,2021-07-16,3.19721
765,2021-07-17,2.9262
766,2021-07-18,2.41497
767,2021-07-19,2.42216
768,2021-07-20,2.52225
769,2021-07-21,3.00216
770,2021-07-22,5.39712
771,2021-07-23,3.33477
772,2021-07-24,2.62285
773,2021-07-25,2.34208
774,2021-07-26,3.1777
775,2021-07-27,2.87179
776,2021-07-28,2.46373
777,2021-07-29,2.54586
778,2021-07-30,2.57511
779,2021-07-31,2.78504
780,2021-08-01,3.44769
