,기간,bts
774,2021-07-26,7.78331
775,2021-07-27,11.00317
776,2021-07-28,6.44471
777,2021-07-29,5.81664
778,2021-07-30,6.13889
779,2021-07-31,5.10346
780,2021-08-01,4.82612
781,2021-08-02,6.25922
782,2021-08-03,9.46294
783,2021-08-04,5.54751
784,2021-08-05,4.97932
785,2021-08-06,4.70403
786,2021-08-07,4.55171
787,2021-08-08,4.61363
788,2021-08-09,5.16744
789,2021-08-10,7.17989
790,2021-08-11,4.97198
791,2021-08-12,4.70432
792,2021-08-13,4.47745
793,2021-08-14,4.23298
794,2021-08-15,4.09563
795,2021-08-16,4.18338
796,2021-08-17,5.46181
797,2021-08-18,5.28954
798,2021-08-19,4.74306
799,2021-08-20,4.29755
800,2021-08-21,4.57108
801,2021-08-22,4.35301
802,2021-08-23,4.36123
803,2021-08-24,5.11814
804,2021-08-25,4.34362
805,2021-08-26,4.2318
806,2021-08-27,4.94527
807,2021-08-28,4.23092
808,2021-08-29,3.9122
809,2021-08-30,4.30606
810,2021-08-31,4.89333
811,2021-09-01,7.06984
812,2021-09-02,4.77799
813,2021-09-03,4.31281
814,2021-09-04,4.04661
815,2021-09-05,3.83618
816,2021-09-06,4.31134
817,2021-09-07,5.31096
818,2021-09-08,7.20513
819,2021-09-09,8.19126
820,2021-09-10,5.264
821,2021-09-11,4.55405
822,2021-09-12,6.50663
823,2021-09-13,5.81077
824,2021-09-14,9.61321
825,2021-09-15,6.27448
826,2021-09-16,5.1874
827,2021-09-17,4.80763
828,2021-09-18,7.48072
829,2021-09-19,8.87274
830,2021-09-20,11.01315
831,2021-09-21,14.68204
832,2021-09-22,9.81777
833,2021-09-23,8.41724
834,2021-09-24,9.41275
835,2021-09-25,7.40529
836,2021-09-26,6.6161
837,2021-09-27,5.6247
838,2021-09-28,6.56592
839,2021-09-29,5.61032
840,2021-09-30,6.60084
841,2021-10-01,7.99579
842,2021-10-02,7.14556
843,2021-10-03,6.6522
844,2021-10-04,5.13281
845,2021-10-05,8.53875
846,2021-10-06,6.49489
847,2021-10-07,4.99517
848,2021-10-08,4.63652
849,2021-10-09,4.80939
850,2021-10-10,4.64768
851,2021-10-11,4.19981
852,2021-10-12,4.95613
853,2021-10-13,6.79836
854,2021-10-14,5.2326
855,2021-10-15,6.60818
856,2021-10-16,4.47334
857,2021-10-17,3.69883
858,2021-10-18,3.72172
859,2021-10-19,4.01198
860,2021-10-20,4.10091
861,2021-10-21,3.97353
862,2021-10-22,4.15432
863,2021-10-23,3.66038
864,2021-10-24,6.6569
865,2021-10-25,5.35616
866,2021-10-26,3.92628
